公示批次链接,名称缩减
http://www.chinafilm.gov.cn/chinafilm/contents/167/3518.shtml,国家电影局关于2021年5月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml,国家电影局关于2021年4月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3415.shtml,国家电影局关于2021年3月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3376.shtml,国家电影局关于2021年2月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/3357.shtml,国家电影局关于2021年1月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,国家电影局关于2020年12月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2826.shtml,国家电影局关于2020年11月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2821.shtml,国家电影局关于2020年10月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2807.shtml,国家电影局关于2020年9月全国电影剧本（梗概） 备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2800.shtml,国家电影局关于2020年8月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2785.shtml,国家电影局关于2020年7月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2761.shtml,国家电影局关于2020年6月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2664.shtml,国家电影局关于2020年5月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2621.shtml,国家电影局关于2020年4月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2540.shtml,国家电影局关于2020年3月全国电影剧本（梗概）备案、立项公示...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2539.shtml,国家电影局关于2020年1月下、2月全国电影剧本（梗概）备案、立...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2399.shtml,国家电影局关于2020年1月（上旬、中旬）全国电影剧本（梗概）备...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2375.shtml,国家电影局关于2019年12月（中旬、下旬）全国电影剧本（梗概）备...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2324.shtml,国家电影局关于2019年11月（下旬）、12月（上旬）全国电影剧本（...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2286.shtml,国家电影局关于2019年11月（上、中旬）全国电影剧本（梗概）备案...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2285.shtml,国家电影局关于2019年10月（中旬、下旬）全国电影剧本（梗概）备...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2279.shtml,国家电影局关于2019年09月（下旬）10月（上旬）全国电影剧本（梗...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2278.shtml,国家电影局关于2019年09月（上旬、中旬）全国电影剧本（梗概）备...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2207.shtml,国家电影局关于2019年08月（下旬）全国电影剧本（梗概）备案、立...
http://www.chinafilm.gov.cn/chinafilm/contents/167/2180.shtml,国家电影局关于2019年08月（中旬）全国电影剧本（梗概）备案、立...
