公示批次链接,公示名称
http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/3379.shtml,2021年电影公映许可证发放公示（国产故事片第三批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/3306.shtml,2021年电影公映许可证发放公示（国产故事片第二批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2829.shtml,2021年电影公映许可证发放公示（国产故事片第一批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2813.shtml,2020年电影公映许可证发放公示（国产动画片、纪录片、科教片、...
http://www.chinafilm.gov.cn/chinafilm/contents/168/2794.shtml,2020年电影公映许可证发放公示（国产故事片第六批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2715.shtml,2020年电影公映许可证发放公示（国产故事片第五批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2659.shtml,2020年电影公映许可证发放公示（国产故事片第四批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2620.shtml,2020年电影公映许可证发放公示（国产故事片第三批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2558.shtml,2020年电影公映许可证发放公示（国产故事片第二批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2488.shtml,2020年电影公映许可证发放公示（国产动画片、纪录片、科教片、...
http://www.chinafilm.gov.cn/chinafilm/contents/168/2485.shtml,2019年电影公映许可证发放公示（国产动画片、纪录片）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2469.shtml,2020年电影公映许可证发放公示（国产故事片第一批）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2208.shtml,2019年电影公映许可证发放公示（国产故事片第十二期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/2183.shtml,2019年电影公映许可证发放公示（国产故事片第十一期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1732.shtml,2019年电影公映许可证发放公示（国产故事片第十期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1583.shtml,2019年电影公映许可证发放公示（国产故事片第九期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1427.shtml,2019年电影公映许可证发放公示（国产故事片第八期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1326.shtml,2019年电影公映许可证发放公示（国产故事片第七期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1325.shtml,2019年电影公映许可证发放公示（国产故事片第六期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1324.shtml,2019年电影公映许可证发放公示（国产故事片第五期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1323.shtml,2019年电影公映许可证发放公示（国产故事片第四期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1322.shtml,2019年电影公映许可证发放公示（国产故事片第三期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1321.shtml,2019年电影公映许可证发放公示（国产故事片第二期）
http://www.chinafilm.gov.cn/chinafilm/contents/168/1320.shtml,2019年电影公映许可证发放公示（国产故事片第一期）
