备案详细页链接,序号,备案立项号,片名,备案单位,编剧,备案结果,备案地,公示日期,备案公示链接
/chinafilm/utils/serviceContent.shtml?ID=31555,1,影剧备字[2011]第101号,京武大侠,深圳奥琪文体策划有限公司北京分公司,崔麟,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31556,2,影剧备字[2011]第093号,绝对挑战,北京宽与文化传媒有限公司,李文俊,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31557,3,影剧备字[2011]第162号,夏日恋一恋,北京溢通导明文化传播有限公司,王晶璟谭广源,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31558,4,影剧备字[2011]第163号,《青山作证》,北京金鸟鸣影视文化有限公司,姜立煌,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31559,5,影剧备字[2011]第039号,旅途,北京英福通文化传播有限公司,王子仁,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31560,6,影剧备字[2011]第108号,爱情推手,乐和天成（北京）国际文化发展有限公司,徐雪莲,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31561,7,影剧备字[2011]第117号,《小两口》,北京盛世星锐文化传媒有限公司,杨磊,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31562,8,影剧备字[2011]第144号,悲剧之王,北京天工映画影视有限公司,王继军,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31563,9,影剧备字[2011]第132号,沙湖沔阳州,北京东方明星数字影视中心仙桃市北斗星影视文化有限公司,胡其林,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31564,10,影剧备字[2011]第090号,早晚聊出事,北京中视嘉润影视文化有限公司北京联华信远进出口有限公司,胡涛,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
/chinafilm/utils/serviceContent.shtml?ID=31565,11,影剧备字[2011]第112号,风刮卜奎,北京真光宝映影视策划有限公司,邱利峰杨明华,同意拍摄,北京市,2011-02-18,http://www.chinafilm.gov.cn//chinafilm/contents/167/3115.shtml
