公示批次链接,名称缩减
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016fad974dfc1ba1402881a66f643f0b&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年09月（上旬、中旬）全国电影剧本（梗概）备案、立项公示的...
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016f78e4ce470f56402881a66f643f0b&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年08月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016ef40d19094328402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年08月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016e90749ef020ea402881a6683e53ae&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年08月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016df773ad016105402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年07月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016d5d832d393085402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2017年07月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016d24c7a4a21125402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年07月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016cd13a97536120402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年06月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016c9392daf04af8402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年06月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016c4b582e6c1861402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年06月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016c27ff034678ef402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年05月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016bf8a0dbd13c07402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年05月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016bbaee018e228b402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年05月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016b69b393dc7dd8402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年04月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016addae17f33c05402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年04月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016a9fa47ebd2528402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年04月（上旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016a4ea29f2e791f402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年03月（下旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=016a1ee9320c6618402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年03月（中旬）全国电影剧本（梗概）备案、立项公示的通知
http://dy.chinasarft.gov.cn/shanty.deploy/blueprint.nsp?id=0169b92864143819402881a7683d8e32&templateId=0129f8148f650065402881cd29f7df33,国家电影局关于2019年03月（上旬）全国电影剧本（梗概）备案、立项公示的通知
