,股票代码,股票简称,公司名称,所在地区,所属板块,公司简称
0,SH603721,中广天择,--,--,主板影视概念概念,['中广']
1,SZ000892,欢瑞世纪,欢瑞世纪联合股份有限公司,重庆,主板影视概念概念,['欢瑞']
2,SH600715,文投控股,文投控股股份有限公司,辽宁,主板影视概念概念,['文投']
3,SZ000718,苏宁环球,苏宁环球股份有限公司,吉林省,主板影视概念概念,['苏宁']
4,SH600088,中视传媒,中视传媒股份有限公司,上海,主板影视概念概念,['中视']
5,SH601929,吉视传媒,吉视传媒股份有限公司,吉林省,主板影视概念概念,['吉视']
6,SH603399,吉翔股份,锦州吉翔钼业股份有限公司,辽宁,主板影视概念概念,['吉翔']
7,SH600052,浙江广厦,浙江广厦股份有限公司,浙江,主板影视概念概念,['广厦']
8,SH603103,横店影视,--,--,主板影视概念概念,['横店']
9,SZ000719,中原传媒,中原大地传媒股份有限公司,河南,主板影视概念概念,['中原']
10,SH601595,上海电影,--,--,主板影视概念概念,['上海电影']
11,SH600892,大晟文化,大晟时代文化投资股份有限公司,广东,主板影视概念概念,['大晟文化']
12,SZ000732,泰禾集团,泰禾集团股份有限公司,福建,主板影视概念概念,['泰禾']
13,SZ000802,ST北文,北京京西文化旅游股份有限公司,北京,主板影视概念概念,"['京西文化', '北京文化']"
14,SZ000156,华数传媒,华数传媒控股股份有限公司,浙江,主板影视概念概念,['华数']
15,SH601098,中南传媒,中南出版传媒集团股份有限公司,湖南,主板影视概念概念,['中南']
16,SZ000046,泛海控股,泛海控股股份有限公司,北京,主板影视概念概念,['泛海']
17,SH600226,ST瀚叶,浙江瀚叶股份有限公司,浙江,主板影视概念概念,['瀚叶']
18,SH600551,时代出版,时代出版传媒股份有限公司,安徽,主板影视概念概念,['时代出版']
19,SH600823,世茂股份,上海世茂股份有限公司,上海,主板影视概念概念,['世茂']
20,SH600977,中国电影,--,--,主板影视概念概念,"['中国电影', '中影,']"
21,SH601599,浙文影业,江苏鹿港文化股份有限公司,江苏,主板影视概念概念,"['浙文', '鹿港']"
22,SH600637,东方明珠,东方明珠新媒体股份有限公司,上海,主板影视概念概念,['东方明珠']
23,SH600136,当代文体,武汉当代明诚文化体育集团股份有限公司,湖北,主板影视概念概念,"['当代文体', '当代明诚', '明诚']"
