公映许可证发放公示批次链接,公示日期
http://dy.chinasarft.gov.cn/html/www/article/2019/016e6e1c99d9518d402881a6683e53ae.html,2019-11-15
http://dy.chinasarft.gov.cn/html/www/article/2019/016dec05e9985ce1402881a6683e53ae.html,2019-10-21
http://dy.chinasarft.gov.cn/html/www/article/2019/016d4dd9261459c7402881a6683e53ae.html,2019-09-20
http://dy.chinasarft.gov.cn/html/www/article/2019/016cb3941ab91d6c402881a6683e53ae.html,2019-08-21
http://dy.chinasarft.gov.cn/html/www/article/2019/016c18622a671e18402881a6683e53ae.html,2019-07-22
http://dy.chinasarft.gov.cn/html/www/article/2019/016b779ddbd91c32402881a6683e53ae.html,2019-06-21
http://dy.chinasarft.gov.cn/html/www/article/2019/016aa079f74f4f27402881a6683e53ae.html,2019-05-10
http://dy.chinasarft.gov.cn/html/www/article/2019/016a1042fbba5bfc402881a6683e53ae.html,2019-04-12
http://dy.chinasarft.gov.cn/html/www/article/2019/0169c1d159e93117402881a6683e53ae.html,2019-03-27
http://dy.chinasarft.gov.cn/html/www/article/2019/016951e84ff570cd402881a6683e53ae.html,2019-03-06
http://dy.chinasarft.gov.cn/html/www/article/2019/016874b0b8ef1cf3402881a6683e53ae.html,2019-01-22
http://dy.chinasarft.gov.cn/html/www/article/2018/0167f3b470700245402881a666e46c07.html,2018-12-28
http://dy.chinasarft.gov.cn/html/www/article/2018/0167c01e642c7ce3402881a666e46c07.html,2018-12-18
http://dy.chinasarft.gov.cn/html/www/article/2018/01673a99b08b7d7e402881a666e46c07.html,2018-11-22
http://dy.chinasarft.gov.cn/html/www/article/2018/0166863792f56efb402881a6604a2c45.html,2018-10-18
http://dy.chinasarft.gov.cn/html/www/article/2018/0165ecb7ad9006b0402881a6604a2c45.html,2018-09-18
http://dy.chinasarft.gov.cn/html/www/article/2018/01653d562efe7c35402881a6604a2c45.html,2018-08-15
http://dy.chinasarft.gov.cn/html/www/article/2018/0164d49bf89c53fc402881a6604a2c45.html,2018-07-26
http://dy.chinasarft.gov.cn/html/www/article/2018/0163d98c65d24376402881a6604a2c45.html,2018-06-07
http://dy.chinasarft.gov.cn/html/www/article/2018/01636bbea7294f43402881a6604a2c45.html,2018-05-17
http://dy.chinasarft.gov.cn/html/www/article/2018/0162b3ba58ed5d8f402881a6604a2c45.html,2018-04-11
